parent Z,parent N,parentA,hl_GT+FF_Qexp(sec),hl_GTonly_Qexp(sec),hl_GT+FF_Qtho(sec),hl_GTonly_Qtho(sec),Pn_GT+FF_Qexp(%),Pn_GTonly_Qexp(%),Pn_GT+FF_Qtho(%),Pn_GTonly_Qtho(%)
17,30,47,0.08886100000000001,0.103018,0.068167,0.07839600000000001,86.13,96.22,86.90,96.51
17,31,48,0.082077,0.117268,0.043859,0.057714,71.68,98.38,77.91,98.75
17,32,49,0.037270000000000005,0.048957,0.030077000000000003,0.038796,85.23,100.00,86.31,100.00
17,33,50,0.020963000000000002,0.027867000000000003,0.017222,0.022498,90.37,100.00,90.97,100.00
17,34,51,0.009601000000000002,0.012001,0.009519999999999999,0.011893,97.39,100.00,97.40,100.00
18,23,41,6541.0199999999995,6608.34,115430.7,120417.18,0.00,0.00,0.00,0.00
18,24,42,1937910825.6599998,-,192970602.49,-,0.00,NaN,0.00,NaN
18,25,43,219.78,239.64000000000001,473.94,534.72,0.00,0.00,0.00,0.00
18,26,44,555.54,562.0200000000001,229.44,231.48000000000002,0.00,0.00,0.00,0.00
18,27,45,11.203,11.485,13.894,14.266,0.00,0.00,0.00,0.00
18,28,46,7.623,7.719,6.017,6.092,0.00,0.00,0.00,0.00
18,29,47,1.704,1.853,0.9842190000000001,1.058,0.60,0.65,1.52,1.64
18,30,48,0.426817,0.44132,0.34163400000000005,0.352923,19.70,20.34,21.56,22.25
18,31,49,0.301906,0.355144,0.188011,0.21654,50.48,59.32,55.03,63.32
18,32,50,0.13143700000000003,0.15479900000000002,0.094765,0.10995600000000001,41.48,48.57,44.85,51.76
18,33,51,0.04643,0.059239,0.040182,0.050758000000000005,69.03,87.17,70.10,87.63
18,34,52,0.02115,0.024383,0.017323,0.019851,87.70,100.00,88.26,100.00
