ExpQ:  hl(GT-only)   2.9478e-03       2.948 ms  hl(GT+FF)[sec]   2.6245e-03       2.624 ms  Pn_GT   100.00 Pn_tot    91.60
ThoQ:  hl(GT-only)   1.4175e-03       1.418 ms  hl(GT+FF)[sec]   1.2629e-03       1.263 ms  Pn_GT   100.00 Pn_tot    91.75
Al35(j5p)=>Si35 qval_exp 14.167750400000001 qval_tho 15.218531804499365
ExpQ:  hl(GT-only)   2.3548e-02      23.548 ms  h1/2[sec]   2.3512e-02      23.512 ms  Pn_GT    25.38 Pn_tot    25.41
ThoQ:  hl(GT-only)   1.5532e-02      15.532 ms  h1/2[sec]   1.5505e-02      15.505 ms  Pn_GT    29.44 Pn_tot    29.48
Al36(j10n,Ex.=0.33 MeV)=>Si36 qval_exp 18.3865096 qval_tho 19.362389015901
ExpQ:  hl(GT-only)   1.6793e-02      16.793 ms  h1/2[sec]   1.6740e-02      16.740 ms  Pn_GT    28.99 Pn_tot    29.09
ThoQ:  hl(GT-only)   1.1596e-02      11.596 ms  h1/2[sec]   1.1554e-02      11.554 ms  Pn_GT    32.83 Pn_tot    32.93
Al36(j2n,Ex.=0.22 MeV)=>Si36 qval_exp 18.3865096 qval_tho 19.255389015901002
ExpQ:  hl(GT-only)   1.8636e-02      18.636 ms  h1/2[sec]   1.8466e-02      18.466 ms  Pn_GT    35.92 Pn_tot    36.18
ThoQ:  hl(GT-only)   1.3162e-02      13.162 ms  h1/2[sec]   1.3038e-02      13.038 ms  Pn_GT    39.28 Pn_tot    39.53
Al36(j4n,Ex.=0.08 MeV)=>Si36 qval_exp 18.3865096 qval_tho 19.11038901590102
ExpQ:  hl(GT-only)   1.8870e-02      18.870 ms  h1/2[sec]   1.8700e-02      18.700 ms  Pn_GT    35.27 Pn_tot    35.30
ThoQ:  hl(GT-only)   1.4125e-02      14.125 ms  h1/2[sec]   1.3996e-02      13.996 ms  Pn_GT    38.16 Pn_tot    38.18
Al36(j8n)=>Si36 qval_exp 18.3865096 qval_tho 19.032389015901018
ExpQ:  hl(GT-only)   1.5887e-02      15.887 ms  h1/2[sec]   1.5815e-02      15.815 ms  Pn_GT    33.12 Pn_tot    33.27
ThoQ:  hl(GT-only)   1.2382e-02      12.382 ms  h1/2[sec]   1.2322e-02      12.322 ms  Pn_GT    35.69 Pn_tot    35.84
Al37(j5p)=>Si37 qval_exp 16.3810765 qval_tho 16.984303296381157
ExpQ:  hl(GT-only)   1.2538e-02      12.538 ms  h1/2[sec]   1.2442e-02      12.442 ms  Pn_GT    45.78 Pn_tot    45.91
ThoQ:  hl(GT-only)   9.9795e-03       9.980 ms  h1/2[sec]   9.8993e-03       9.899 ms  Pn_GT    48.07 Pn_tot    48.20
Al38(j0n)=>Si38 qval_exp# 20.64 qval_tho 20.692080331423014
ExpQ:  hl(GT-only)   8.9026e-03       8.903 ms  h1/2[sec]   8.6319e-03       8.632 ms  Pn_GT    60.14 Pn_tot    58.83
ThoQ:  hl(GT-only)   8.7327e-03       8.733 ms  h1/2[sec]   8.4674e-03       8.467 ms  Pn_GT    60.29 Pn_tot    58.97
Al38(j10n,Ex.=0.39 MeV)=>Si38 qval_exp# 20.64 qval_tho 21.083080331423005
ExpQ:  hl(GT-only)   8.4846e-03       8.485 ms  h1/2[sec]   8.4172e-03       8.417 ms  Pn_GT    50.69 Pn_tot    50.45
ThoQ:  hl(GT-only)   7.2532e-03       7.253 ms  h1/2[sec]   7.1942e-03       7.194 ms  Pn_GT    52.15 Pn_tot    51.89
Al39(j5p)=>Si39 qval_exp# 19.169 qval_tho 19.290394913360373
ExpQ:  hl(GT-only)   6.0843e-03       6.084 ms  h1/2[sec]   5.7845e-03       5.784 ms  Pn_GT    64.46 Pn_tot    62.44
ThoQ:  hl(GT-only)   5.8372e-03       5.837 ms  h1/2[sec]   5.5493e-03       5.549 ms  Pn_GT    64.81 Pn_tot    62.76
Al40(j0n,Ex.=0.36 MeV)=>Si40 qval_exp# 23.154 qval_tho 24.236816080486236
ExpQ:  hl(GT-only)   4.7965e-03       4.796 ms  h1/2[sec]   4.4971e-03       4.497 ms  Pn_GT    99.64 Pn_tot    95.32
ThoQ:  hl(GT-only)   3.3721e-03       3.372 ms  h1/2[sec]   3.1744e-03       3.174 ms  Pn_GT    99.67 Pn_tot    95.82
Al40(j2n,Ex.=0.45 MeV)=>Si40 qval_exp# 23.154 qval_tho 24.32281608048619
ExpQ:  hl(GT-only)   5.2072e-03       5.207 ms  h1/2[sec]   4.4624e-03       4.462 ms  Pn_GT    90.42 Pn_tot    78.75
ThoQ:  hl(GT-only)   3.5503e-03       3.550 ms  h1/2[sec]   3.0518e-03       3.052 ms  Pn_GT    91.32 Pn_tot    79.79
Al40(j4n,Ex.=0.18 MeV)=>Si40 qval_exp# 23.154 qval_tho 24.053816080486243
ExpQ:  hl(GT-only)   5.3412e-03       5.341 ms  h1/2[sec]   4.8241e-03       4.824 ms  Pn_GT    65.58 Pn_tot    60.79
ThoQ:  hl(GT-only)   3.9929e-03       3.993 ms  h1/2[sec]   3.6144e-03       3.614 ms  Pn_GT    67.87 Pn_tot    63.00
Al40(j6n,Ex.=0.30 MeV)=>Si40 qval_exp# 23.154 qval_tho 24.1758160804862
ExpQ:  hl(GT-only)   6.5173e-03       6.517 ms  h1/2[sec]   5.7885e-03       5.788 ms  Pn_GT    77.96 Pn_tot    70.86
ThoQ:  hl(GT-only)   4.6306e-03       4.631 ms  h1/2[sec]   4.1192e-03       4.119 ms  Pn_GT    79.74 Pn_tot    72.58
Al40(j8n)=>Si40 qval_exp# 23.154 qval_tho 23.874816080486212
ExpQ:  hl(GT-only)   5.0177e-03       5.018 ms  h1/2[sec]   4.6526e-03       4.653 ms  Pn_GT    59.23 Pn_tot    55.49
ThoQ:  hl(GT-only)   3.9880e-03       3.988 ms  h1/2[sec]   3.7011e-03       3.701 ms  Pn_GT    61.49 Pn_tot    57.64
Al41(j5p)=>Si41 qval_exp# 21.39 qval_tho 22.859826714027875
ExpQ:  hl(GT-only)   4.8632e-03       4.863 ms  h1/2[sec]   3.9031e-03       3.903 ms  Pn_GT    71.83 Pn_tot    62.23
ThoQ:  hl(GT-only)   3.0937e-03       3.094 ms  h1/2[sec]   2.4844e-03       2.484 ms  Pn_GT    75.20 Pn_tot    64.89
Al42(j0n,Ex.=0.34 MeV)=>Si42 qval_exp# 25.15 qval_tho 28.014838961928163
ExpQ:  hl(GT-only)   6.0360e-03       6.036 ms  h1/2[sec]   4.4071e-03       4.407 ms  Pn_GT    98.12 Pn_tot    83.86
ThoQ:  hl(GT-only)   2.4821e-03       2.482 ms  h1/2[sec]   1.8363e-03       1.836 ms  Pn_GT    98.55 Pn_tot    84.65
Al42(j2n,Ex.=0.25 MeV)=>Si42 qval_exp# 25.15 qval_tho 27.92883896192818
ExpQ:  hl(GT-only)   5.4075e-03       5.408 ms  h1/2[sec]   4.1411e-03       4.141 ms  Pn_GT    96.47 Pn_tot    85.45
ThoQ:  hl(GT-only)   2.3049e-03       2.305 ms  h1/2[sec]   1.7744e-03       1.774 ms  Pn_GT    97.24 Pn_tot    86.12
Al42(j4n,Ex.=0.10 MeV)=>Si42 qval_exp# 25.15 qval_tho 27.782838961928164
ExpQ:  hl(GT-only)   5.5807e-03       5.581 ms  h1/2[sec]   4.4651e-03       4.465 ms  Pn_GT    85.97 Pn_tot    79.69
ThoQ:  hl(GT-only)   2.4819e-03       2.482 ms  h1/2[sec]   1.9923e-03       1.992 ms  Pn_GT    88.90 Pn_tot    82.45
Al42(j6n)=>Si42 qval_exp# 25.15 qval_tho 27.677838961928174
ExpQ:  hl(GT-only)   5.5044e-03       5.504 ms  h1/2[sec]   4.3145e-03       4.315 ms  Pn_GT    95.21 Pn_tot    81.68
ThoQ:  hl(GT-only)   2.5407e-03       2.541 ms  h1/2[sec]   1.9947e-03       1.995 ms  Pn_GT    96.13 Pn_tot    82.55
Al42(j8n,Ex.=0.34 MeV)=>Si42 qval_exp# 25.15 qval_tho 28.021838961928168
ExpQ:  hl(GT-only)   6.6687e-03       6.669 ms  h1/2[sec]   5.9324e-03       5.932 ms  Pn_GT    90.53 Pn_tot    89.48
ThoQ:  hl(GT-only)   2.7175e-03       2.718 ms  h1/2[sec]   2.4250e-03       2.425 ms  Pn_GT    92.75 Pn_tot    91.74
Al43(j5p)=>Si43 qval_exp# 23.94 qval_tho 25.83420648636458
ExpQ:  hl(GT-only)   3.9773e-03       3.977 ms  h1/2[sec]   3.0959e-03       3.096 ms  Pn_GT   100.00 Pn_tot    99.18
ThoQ:  hl(GT-only)   2.2574e-03       2.257 ms  h1/2[sec]   1.7634e-03       1.763 ms  Pn_GT   100.00 Pn_tot    99.23
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al44(j2n,Ex.=0.18 MeV)=>Si44 qval_exp 0.0 qval_tho 29.5882342696208
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          NaN         NaN sec Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   1.8048e-03       1.805 ms  h1/2[sec]   1.1825e-03       1.182 ms  Pn_GT   100.00 Pn_tot    78.97
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al44(j4n)=>Si44 qval_exp 0.0 qval_tho 29.407234269620787
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          NaN         NaN sec Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   1.7980e-03       1.798 ms  h1/2[sec]   1.3777e-03       1.378 ms  Pn_GT   100.00 Pn_tot    94.93
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al44(j6n,Ex.=0.27 MeV)=>Si44 qval_exp 0.0 qval_tho 29.674234269620783
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          Inf         Inf y   Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   1.6715e-03       1.672 ms  h1/2[sec]   1.2765e-03       1.277 ms  Pn_GT   100.00 Pn_tot    95.02
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al44(j8n,Ex.=0.08 MeV)=>Si44 qval_exp 0.0 qval_tho 29.4872342696208
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          Inf         Inf y   Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   1.8547e-03       1.855 ms  h1/2[sec]   1.4585e-03       1.458 ms  Pn_GT   100.00 Pn_tot    99.36
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al45(j5p)=>Si45 qval_exp 0.0 qval_tho 27.909186525576573
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          NaN         NaN sec Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   1.4973e-03       1.497 ms  h1/2[sec]   1.0983e-03       1.098 ms  Pn_GT   100.00 Pn_tot    93.53
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al46(j4n)=>Si46 qval_exp 0.0 qval_tho 31.30629312868588
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          NaN         NaN sec Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   1.2868e-03       1.287 ms  h1/2[sec]   8.8310e-04     883.097 μs  Pn_GT      NaN Pn_tot      NaN
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al46(j6n,Ex.=0.25 MeV)=>Si46 qval_exp 0.0 qval_tho 31.55429312868587
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          Inf         Inf y   Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   7.5067e-04     750.672 μs  h1/2[sec]   5.8444e-04     584.445 μs  Pn_GT      NaN Pn_tot      NaN
experimental qval is not available from amedata.jl, so Qval is set 0.0
Al47(j5p)=>Si47 qval_exp 0.0 qval_tho 30.61575487337184
ExpQ:  hl(GT-only)          Inf         Inf y   h1/2[sec]          NaN         NaN sec Pn_GT      NaN Pn_tot      NaN
ThoQ:  hl(GT-only)   9.5974e-04     959.736 μs  h1/2[sec]   6.0548e-04     605.480 μs  Pn_GT      NaN Pn_tot      NaN
Si34(j0p)=>P34 qval_exp 4.5570175 qval_tho 4.791164039210529
ExpQ:  hl(GT-only)   4.1607e+00       4.161 sec h1/2[sec]   4.1607e+00       4.161 sec Pn_GT     0.00 Pn_tot     0.00
ThoQ:  hl(GT-only)   3.1365e+00       3.136 sec h1/2[sec]   3.1365e+00       3.136 sec Pn_GT     0.00 Pn_tot     0.00
Si35(j7n)=>P35 qval_exp 10.466329100000001 qval_tho 10.351918586018757
ExpQ:  hl(GT-only)   6.0646e-01     606.456 ms  h1/2[sec]   6.0372e-01     603.722 ms  Pn_GT     0.10 Pn_tot     0.10
ThoQ:  hl(GT-only)   6.6754e-01     667.540 ms  h1/2[sec]   6.6453e-01     664.533 ms  Pn_GT     0.09 Pn_tot     0.09
Si36(j0p)=>P36 qval_exp 7.8149194 qval_tho 7.836593716328211
ExpQ:  hl(GT-only)   3.7570e-01     375.700 ms  h1/2[sec]   3.7469e-01     374.690 ms  Pn_GT     3.62 Pn_tot     3.64
ThoQ:  hl(GT-only)   3.6940e-01     369.402 ms  h1/2[sec]   3.6841e-01     368.407 ms  Pn_GT     3.67 Pn_tot     3.69
Si37(j5n)=>P37 qval_exp 12.4245003 qval_tho 12.529268466004213
